x_over_Lp,y_over_Lp,p_sim_shifted_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_shifted_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty,signed_gap_beyond_digitization_uncertainty
0.0,-0.25,1.0668674173553718,1.150199203187251,0.0675297120745784,-0.08333178583187917,0.08333178583187917,0.015802073757300764,-0.015802073757300764
0.002506265664160401,-0.25,1.0668674173553718,1.1243027888446215,0.0629300731639264,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.005012531328320802,-0.25,1.0668674173553718,1.1243027888446215,0.0629300731639264,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.007518796992481203,-0.25,1.0668674173553718,1.1243027888446215,0.0629300731639264,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.010025062656641603,-0.25,1.0668674173553718,1.1243027888446215,0.0629300731639264,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.012531328320802004,-0.25,1.0668674173553718,1.1243027888446215,0.0629300731639264,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.015037593984962405,-0.25,1.0668674173553718,1.1243027888446215,0.0629300731639264,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.017543859649122806,-0.25,1.0668674173553718,1.1243027888446213,0.0629300731639264,-0.05743537148924949,0.05743537148924949,0.0,-0.0
0.020050125313283207,-0.25,1.0668674173553718,1.1243027888446215,0.0629300731639264,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.022556390977443608,-0.25,1.0668674173553718,1.1243027888446213,0.0629300731639264,-0.05743537148924949,0.05743537148924949,0.0,-0.0
0.02506265664160401,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.02756892230576441,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.03007518796992481,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.03258145363408521,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.03508771929824561,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.03759398496240601,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.040100250626566414,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.042606516290726815,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.045112781954887216,-0.25,1.0668674173553718,1.1243027888446215,0.0652574464761946,-0.05743537148924971,0.05743537148924971,0.0,-0.0
0.047619047619047616,-0.25,1.0668674173553718,1.1262948207171315,0.06324266009082309,-0.05942740336175967,0.05942740336175967,0.0,-0.0
0.05012531328320802,-0.25,1.0668674173553718,1.1262948207171315,0.05981548948382548,-0.05942740336175967,0.05942740336175967,0.0,-0.0
0.05263157894736842,-0.25,1.0668674173553718,1.1262948207171315,0.05718069685270227,-0.05942740336175967,0.05942740336175967,0.0022467065090573946,-0.0022467065090573946
0.05513784461152882,-0.25,1.0668674173553718,1.1302788844621514,0.05563866275208858,-0.06341146710677958,0.06341146710677958,0.007772804354691007,-0.007772804354691007
0.05764411027568922,-0.25,1.0668674173553718,1.1302788844621514,0.0556386627520886,-0.06341146710677958,0.06341146710677958,0.007772804354690986,-0.007772804354690986
0.06015037593984962,-0.25,1.0668674173553718,1.1302788844621514,0.05563866275208859,-0.06341146710677958,0.06341146710677958,0.007772804354690993,-0.007772804354690993
0.06265664160401002,-0.25,1.0668674173553718,1.1302788844621514,0.0556386627520886,-0.06341146710677958,0.06341146710677958,0.007772804354690986,-0.007772804354690986
0.06516290726817042,-0.25,1.0668674173553718,1.1302788844621514,0.0556386627520886,-0.06341146710677958,0.06341146710677958,0.007772804354690986,-0.007772804354690986
