x_over_Lp,p_sim_shifted_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_shifted_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty
0.0,1.063208367768595,1.042629482071713,0.01081670667191,0.020578885696882043,0.020578885696882043,0.009762179024972043
0.002506265664160401,1.063208367768595,1.048605577689243,0.004932480719240798,0.014602790079352168,0.014602790079352168,0.00967030936011137
0.005012531328320802,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.007518796992481203,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.010025062656641603,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.012531328320802004,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.015037593984962405,1.063208367768595,1.0486055776892431,0.0049324807192408,0.014602790079351946,0.014602790079351946,0.009670309360111146
0.017543859649122806,1.063208367768595,1.048605577689243,0.004932480719240799,0.014602790079352168,0.014602790079352168,0.00967030936011137
0.020050125313283207,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.022556390977443608,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.02506265664160401,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.02756892230576441,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.03007518796992481,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.03258145363408521,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.03508771929824561,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.03759398496240601,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.040100250626566414,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.042606516290726815,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.045112781954887216,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.047619047619047616,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.05012531328320802,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.05263157894736842,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.05513784461152882,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.05764411027568922,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.06015037593984962,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.06265664160401002,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.06516290726817042,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.06766917293233082,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368
0.07017543859649122,1.0632038184163393,1.048605577689243,0.0049324807192408,0.014598240727096368,0.014598240727096368,0.009665760007855568
0.07268170426065163,1.0630007781037905,1.048605577689243,0.0049324807192408,0.01439520041454756,0.01439520041454756,0.00946271969530676
0.07518796992481203,1.0628018530416306,1.048605577689243,0.0049324807192408,0.014196275352387655,0.014196275352387655,0.009263794633146855
0.07769423558897243,1.0626130729655179,1.048605577689243,0.0049324807192408,0.014007495276274984,0.014007495276274984,0.009075014557034184
0.08020050125313283,1.0624301278015373,1.048605577689243,0.0049324807192408,0.013824550112294443,0.013824550112294443,0.008892069393053642
0.08270676691729323,1.0622589941601905,1.048605577689243,0.0049324807192408,0.013653416470947644,0.013653416470947644,0.008720935751706843
0.08521303258145363,1.0620904580666597,1.048605577689243,0.0049324807192408,0.013484880377416797,0.013484880377416797,0.008552399658175997
0.08771929824561403,1.0619378195370606,1.048605577689243,0.0049324807192408,0.013332241847817672,0.013332241847817672,0.008399761128576872
0.09022556390977443,1.0617852019290823,1.048605577689243,0.0049324807192408,0.013179624239839427,0.013179624239839427,0.008247143520598627
0.09273182957393483,1.0616454986477382,1.048605577689243,0.0049324807192408,0.013039920958495266,0.013039920958495266,0.008107440239254466
0.09523809523809523,1.061510237394887,1.048605577689243,0.0049324807192408,0.01290465970564414,0.01290465970564414,0.007972178986403339
0.09774436090225563,1.061377970952495,1.048605577689243,0.0049324807192408,0.01277239326325219,0.01277239326325219,0.00783991254401139
0.10025062656641603,1.061259411748206,1.048605577689243,0.0049324807192408,0.012653834058963032,0.012653834058963032,0.0077213533397222315
0.10275689223057644,1.0611409556843894,1.048605577689243,0.0049324807192408,0.01253537799514648,0.01253537799514648,0.007602897275905679
0.10526315789473684,1.0610313811457708,1.048605577689243,0.0049324807192408,0.012425803456527884,0.012425803456527884,0.007493322737287084
0.10776942355889724,1.0609309777114913,1.048605577689243,0.0049324807192408,0.012325400022248356,0.012325400022248356,0.007392919303007556
