x,y,z,pressure
0.22733,0.027781306,0.131,52679.363
0.22478999,0.026250554,0.131,52699.367
0.22225,0.024719801,0.131,52717.168
0.21971001,0.023189049,0.131,52731.406
0.21717,0.021658298,0.131,52740.574
0.21463001,0.020128164,0.131,52743.613
0.21209,0.018698405,0.131,52739.988
0.20954999,0.017455135,0.131,52730.961
0.20701,0.016374029,0.131,52717.145
0.20446999,0.01543394,0.131,52699.305
0.20193,0.014616469,0.131,52677.531
0.19938999,0.013905625,0.131,52652.551
0.19685,0.0132875,0.131,52624.637
0.19431001,0.01275,0.131,52594.473
0.25272998,0.044619579,0.131,52571.516
0.25018999,0.043088827,0.131,52567.941
0.24765,0.041558076,0.131,52566.418
0.24510999,0.040027324,0.131,52567.48
0.24257,0.038496573,0.131,52572.008
0.24002999,0.036965817,0.131,52580.344
0.23749,0.035435066,0.131,52592.531
0.23495001,0.033904314,0.131,52608.113
0.23241,0.032373562,0.131,52626.512
0.22986999,0.030842811,0.131,52646.887
0.22733,0.029312057,0.131,52668.246
0.22478999,0.027781306,0.131,52689.312
0.22225,0.026250554,0.131,52708.793
0.21971001,0.024719801,0.131,52725.262
0.21717,0.023189049,0.131,52737.086
0.21463001,0.021658298,0.131,52743.219
0.21209,0.020128164,0.131,52741.996
0.20954999,0.018698405,0.131,52734.676
0.20701,0.017455135,0.131,52721.992
0.20446999,0.016374029,0.131,52704.441
0.20193,0.01543394,0.131,52682.895
0.19938999,0.014616469,0.131,52657.543
0.19685,0.013905625,0.131,52629.359
0.19431001,0.0132875,0.131,52598.684
0.19177,0.01275,0.131,52566.102
0.25272998,0.046150334,0.131,52568.531
0.25018999,0.044619579,0.131,52564.402
0.24765,0.043088827,0.131,52562.094
0.24510999,0.041558076,0.131,52562.145
0.24257,0.040027324,0.131,52565.445
0.24002999,0.038496573,0.131,52572.449
0.23749,0.036965817,0.131,52583.297
0.23495001,0.035435066,0.131,52597.738
0.23241,0.033904314,0.131,52615.297
0.22986999,0.032373562,0.131,52635.324
0.22733,0.030842811,0.131,52656.875
0.22478999,0.029312057,0.131,52678.738
0.22225,0.027781306,0.131,52699.598
0.21971001,0.026250554,0.131,52718.027
0.21717,0.024719801,0.131,52732.488
0.21463001,0.023189049,0.131,52741.184
0.21209,0.021658298,0.131,52743.395
0.20954999,0.020128164,0.131,52738.355
0.20701,0.018698405,0.131,52726.949
0.20446999,0.017455135,0.131,52710.309
0.20193,0.016374029,0.131,52688.773
0.19938999,0.01543394,0.131,52663.445
0.19685,0.014616469,0.131,52634.695
0.19431001,0.013905625,0.131,52603.625
0.19177,0.0132875,0.131,52570.453
0.18923,0.01275,0.131,52535.582
0.25272998,0.047681086,0.131,52566.309
0.25018999,0.046150334,0.131,52561.664
0.24765,0.044619579,0.131,52558.641
0.24510999,0.043088827,0.131,52557.73
0.24257,0.041558076,0.131,52559.836
0.24002999,0.040027324,0.131,52565.461
0.23749,0.038496573,0.131,52574.895
0.23495001,0.036965817,0.131,52588.02
0.23241,0.035435066,0.131,52604.531
0.22986999,0.033904314,0.131,52623.918
0.22733,0.032373562,0.131,52645.355
0.22478999,0.030842811,0.131,52667.711
0.22225,0.029312057,0.131,52689.645
0.21971001,0.027781306,0.131,52709.82
0.21717,0.026250554,0.131,52726.551
0.21463001,0.024719801,0.131,52738.191
0.21209,0.023189049,0.131,52743.438
0.20954999,0.021658298,0.131,52741.172
0.20701,0.020128164,0.131,52732.102
0.20446999,0.018698405,0.131,52716.453
0.20193,0.017455135,0.131,52695.602
0.19938999,0.016374029,0.131,52669.992
0.19685,0.01543394,0.131,52641.051
0.19431001,0.014616469,0.131,52609.238
0.19177,0.013905625,0.131,52575.57
0.18923,0.0132875,0.131,52540.043
0.18669,0.01275,0.131,52502.914
0.25272998,0.049211837,0.131,52564.766
0.25018999,0.047681086,0.131,52559.652
0.24765,0.046150334,0.131,52555.953
0.24510999,0.044619579,0.131,52554.137
0.24257,0.043088827,0.131,52555.09
0.24002999,0.041558076,0.131,52559.352
0.23749,0.040027324,0.131,52567.309
0.23495001,0.038496573,0.131,52578.992
0.23241,0.036965817,0.131,52594.254
0.22986999,0.035435066,0.131,52612.738
0.22733,0.033904314,0.131,52633.781
0.22478999,0.032373562,0.131,52656.301
0.22225,0.030842811,0.131,52679.047
0.21971001,0.029312057,0.131,52700.617
0.21717,0.027781306,0.131,52719.516
0.21463001,0.026250554,0.131,52733.781
0.21209,0.024719801,0.131,52741.883
0.20954999,0.023189049,0.131,52742.914
0.20701,0.021658298,0.131,52736.758
0.20446999,0.020128164,0.131,52723.148
0.20193,0.018698405,0.131,52702.914
0.19938999,0.017455135,0.131,52677.695
0.19685,0.016374029,0.131,52648.164
0.19431001,0.01543394,0.131,52615.961
0.19177,0.014616469,0.131,52581.414
0.18923,0.013905625,0.131,52545.301
0.18669,0.0132875,0.131,52507.449
0.18415,0.01275,0.131,52468.125
0.25272998,0.050742589,0.131,52563.836
0.25018999,0.049211837,0.131,52558.281
0.24765,0.047681086,0.131,52553.961
0.24510999,0.046150334,0.131,52551.293
0.24257,0.044619579,0.131,52551.137
0.24002999,0.043088827,0.131,52554.059
0.23749,0.041558076,0.131,52560.508
0.23495001,0.040027324,0.131,52570.66
0.23241,0.038496573,0.131,52584.508
0.22986999,0.036965817,0.131,52601.871
0.22733,0.035435066,0.131,52622.219
0.22478999,0.033904314,0.131,52644.633
0.22225,0.032373562,0.131,52667.852
0.21971001,0.030842811,0.131,52690.602
0.21717,0.029312057,0.131,52711.281
0.21463001,0.027781306,0.131,52728.117
0.21209,0.026250554,0.131,52739.215
0.20954999,0.024719801,0.131,52743.527
0.20701,0.023189049,0.131,52740.047
0.20446999,0.021658298,0.131,52729.504
0.20193,0.020128164,0.131,52711.109
0.19938999,0.018698405,0.131,52686.102
0.19685,0.017455135,0.131,52656.641
0.19431001,0.016374029,0.131,52623.551
0.19177,0.01543394,0.131,52588.438
0.18923,0.014616469,0.131,52551.328
0.18669,0.013905625,0.131,52512.809
0.18415,0.0132875,0.131,52472.688
0.18161,0.01275,0.131,52431.293
0.25272998,0.052273341,0.131,52563.434
0.25018999,0.050742589,0.131,52557.473
0.24765,0.049211837,0.131,52552.57
0.24510999,0.047681086,0.131,52549.113
0.24257,0.046150334,0.131,52547.902
0.24002999,0.044619579,0.131,52549.52
0.23749,0.043088827,0.131,52554.465
0.23495001,0.041558076,0.131,52563.016
0.23241,0.040027324,0.131,52575.328
0.22986999,0.038496573,0.131,52591.363
0.22733,0.036965817,0.131,52610.785
0.22478999,0.035435066,0.131,52632.77
0.22225,0.033904314,0.131,52656.215
0.21971001,0.032373562,0.131,52679.777
0.21717,0.030842811,0.131,52702.055
0.21463001,0.029312057,0.131,52721.137
0.21209,0.027781306,0.131,52735.105
0.20954999,0.026250554,0.131,52742.496
0.20701,0.024719801,0.131,52742.469
0.20446999,0.023189049,0.131,52734.691
0.20193,0.021658298,0.131,52719.246
0.19938999,0.020128164,0.131,52695.742
0.19685,0.018698405,0.131,52666.02
0.19431001,0.017455135,0.131,52632.676
0.19177,0.016374029,0.131,52596.418
0.18923,0.01543394,0.131,52558.594
0.18669,0.014616469,0.131,52518.969
0.18415,0.013905625,0.131,52478.078
0.18161,0.0132875,0.131,52435.805
0.17907001,0.01275,0.131,52392.582
0.25272998,0.053804092,0.131,52563.492
0.25018999,0.052273341,0.131,52557.152
0.24765,0.050742589,0.131,52551.707
0.24510999,0.049211837,0.131,52547.504
0.24257,0.047681086,0.131,52545.301
0.24002999,0.046150334,0.131,52545.664
0.23749,0.044619579,0.131,52549.121
0.23495001,0.043088827,0.131,52556.055
0.23241,0.041558076,0.131,52566.727
0.22986999,0.040027324,0.131,52581.285
0.22733,0.038496573,0.131,52599.531
