x,y,z,pressure
0.054359309,0.13929988,0.131,53174.297
0.055631079,0.13929988,0.131,53327.129
0.054359309,0.13886961,0.131,53135.172
0.057093613,0.1392999,0.131,53518.152
0.055631079,0.13886963,0.131,53284.867
0.054359309,0.13837484,0.131,53090.566
0.058775529,0.1392999,0.131,53758.777
0.057093613,0.13886964,0.131,53472.141
0.055631079,0.13837484,0.131,53236.637
0.054359309,0.1378058,0.131,53039.875
0.060669385,0.1392999,0.131,54059.699
0.058775529,0.13886964,0.131,53708.426
0.057093613,0.13837487,0.131,53419.586
0.055631079,0.13780583,0.131,53181.738
0.054359309,0.13715144,0.131,52982.387
0.062657833,0.1392999,0.131,54410.477
0.060669385,0.13886966,0.131,54004.434
0.058775529,0.13837487,0.131,53650.828
0.057093613,0.13780585,0.131,53359.668
0.055631079,0.13715146,0.131,53119.418
0.054359309,0.13639891,0.131,52917.449
0.064646289,0.1392999,0.131,54798.188
0.062657833,0.13886967,0.131,54350.078
0.060669385,0.13837488,0.131,53941.113
0.058775529,0.13780588,0.131,53585.059
0.057093613,0.13715149,0.131,53291.574
0.055631079,0.13639894,0.131,53048.973
0.054359309,0.13553351,0.131,52844.422
0.066634744,0.1392999,0.131,55226.289
0.064646289,0.13886969,0.131,54732.699
0.062657833,0.13837491,0.131,54280.832
0.060669385,0.13780589,0.131,53868.684
0.058775529,0.13715152,0.131,53510.16
0.057093613,0.13639899,0.131,53214.426
0.055631083,0.13553354,0.131,52969.598
0.054359309,0.13453829,0.131,52762.824
0.0686232,0.1392999,0.131,55694.68
0.066634744,0.1388697,0.131,55155.828
0.064646289,0.13837492,0.131,54657.531
0.062657833,0.13780592,0.131,54201.531
0.060669385,0.13715157,0.131,53786.078
0.058775529,0.13639903,0.131,53425.168
0.057093613,0.1355336,0.131,53127.406
0.055631083,0.13453835,0.131,52880.82
0.054359309,0.13339379,0.131,52672.223
0.070611648,0.13929991,0.131,56201.531
0.0686232,0.1388697,0.131,55619.281
0.066634744,0.13837495,0.131,55074.875
0.064646289,0.13780597,0.131,54571.387
0.062657833,0.13715161,0.131,54110.918
0.060669385,0.13639909,0.131,53692.102
0.058775529,0.13553366,0.131,53329.012
0.05709362,0.13453841,0.131,53029.754
0.055631083,0.13339387,0.131,52782.012
0.054359309,0.13207763,0.131,52572.477
0.072600096,0.13929991,0.131,56741.387
0.070611648,0.1388697,0.131,56121.375
0.0686232,0.13837497,0.131,55532.699
0.066634744,0.137806,0.131,54982.105
0.064646289,0.13715166,0.131,54472.871
0.062657833,0.13639915,0.131,54007.605
0.060669385,0.13553372,0.131,53585.551
0.058775529,0.13453849,0.131,53220.867
0.05709362,0.13339394,0.131,52920.926
0.055631083,0.13207771,0.131,52673.211
0.054359309,0.13056403,0.131,52463.836
0.074588552,0.13929993,0.131,57307.453
0.072600096,0.13886973,0.131,56656.551
0.070611648,0.13837498,0.131,56029.277
0.0686232,0.13780603,0.131,55433.383
0.066634744,0.1371517,0.131,54875.84
0.064646289,0.13639921,0.131,54360.375
0.062657833,0.13553381,0.131,53890.184
0.060669385,0.13453858,0.131,53465.273
0.058775529,0.13339403,0.131,53100.039
0.05709362,0.13207781,0.131,52800.691
0.055631083,0.13056412,0.131,52554.449
0.054359309,0.1288234,0.131,52347.105
0.076577,0.13929993,0.131,57894.402
0.074588552,0.13886973,0.131,57217.891
0.072600096,0.13837501,0.131,56559.023
0.070611648,0.13780606,0.131,55923.594
0.0686232,0.13715173,0.131,55319.602
0.066634744,0.13639925,0.131,54754.445
0.064646289,0.13553388,0.131,54232.324
0.062657841,0.13453867,0.131,53757.281
0.060669385,0.13339415,0.131,53330.43
0.058775529,0.13207793,0.131,52966.164
0.05709362,0.13056424,0.131,52669.582
0.055631083,0.12882352,0.131,52426.629
0.054359309,0.12682167,0.131,52223.777
0.078565456,0.13929993,0.131,58505.004
0.076577,0.13886975,0.131,57800.215
