x,y,pressure,x_over_Lp,y_over_Lp,p_over_pinf
0.00057688396,0.13886961,51522.727,0.0,0.24955869071585177,1.0325195791583166
0.00057688396,0.13929988,51524.59,0.0,0.2512666324353868,1.0325569138276551
0.00057688402,0.13553348,51508.234,2.3816790185925435e-10,0.23631603933696724,1.032229138276553
0.00057688402,0.1363989,51511.957,2.3816790185925435e-10,0.23975129376539597,1.03230374749499
0.00057688402,0.13715142,51515.215,2.3816790185925435e-10,0.24273839559165525,1.0323690380761523
0.00057688402,0.13780579,51518.09,2.3816790185925435e-10,0.24533589442497436,1.032426653306613
0.00057688402,0.13837482,51520.551,2.3816790185925435e-10,0.24759463911241958,1.0324759719438878
0.00057688408,0.13339376,51499.379,4.763358037185087e-10,0.22782249561761966,1.0320516833667335
0.00057688408,0.13453826,51504.051,4.763358037185087e-10,0.23236554834731943,1.0321453106212424
0.00057688414,0.13056397,51488.824,7.145037060081333e-10,0.21658974316329274,1.0318401603206413
0.00057688414,0.13207759,51494.223,7.145037060081333e-10,0.22259800482579004,1.0319483567134269
0.00057688419,0.12882334,51483.289,9.129769572705984e-10,0.2096803732437669,1.0317292384769539
0.00057688425,0.1246202,51473.883,1.151144859560223e-09,0.1929961559870518,1.031540741482966
0.00057688425,0.12682161,51477.965,1.151144859560223e-09,0.20173457600425446,1.0316225450901804
0.00057688437,0.12009738,51471.91,1.6274806632787317e-09,0.17504298014874617,1.0315012024048096
0.00057688437,0.12235879,51471.723,1.6274806632787317e-09,0.18401956806789896,1.0314974549098197
0.00057688443,0.11783598,51474.754,1.865648565137986e-09,0.16606643192424367,1.0315581963927856
0.00057688449,0.11331317,51488.703,2.1038164674276106e-09,0.14811329578058832,1.0318377354709418
0.00057688449,0.11557458,51480.32,2.1038164674276106e-09,0.1570898836997411,1.031669739478958
0.0005768846,0.10879037,51513.82,2.5404576209797006e-09,0.1301601993315833,1.0323410821643286
0.0005768846,0.11105177,51500.035,2.5404576209797006e-09,0.1391367475560858,1.0320648296593187
0.00057688472,0.10200615,51567.809,3.016793424698209e-09,0.10323047526877516,1.0334230260521042
0.00057688472,0.10426755,51548.047,3.016793424698209e-09,0.11220702349327764,1.033026993987976
0.00057688472,0.10652896,51529.809,3.016793424698209e-09,0.1211836114124305,1.032661503006012
0.00057688484,0.097483337,51610.199,3.493129228416718e-09,0.08527732721672474,1.0342725250501001
0.00057688484,0.099744752,51588.82,3.493129228416718e-09,0.09425393498320273,1.0338440881763526
