x,y,z,pressure,x_original,x_shift_m,x_shift_over_Lp,x_over_Lp_original,x_over_Lp_shifted,x_shifted,y_over_Lp,p_over_pinf
0.2682878310296958,0.013000302,0.131,38152.598,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.25024796463369836,0.7882768181818182
0.2682878310296958,0.014050936,0.131,38111.344,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.24607462691545054,0.7874244628099173
0.2648007510296958,0.013000302,0.131,39087.961,0.2487694,0.0160313510296958,0.0636798751293993,0.9861485898128676,1.049828464942267,0.2648007510296958,-0.25024796463369836,0.8076025000000001
0.2682878310296958,0.015206633,0.131,38065.441,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.24148395701426148,0.7864760537190082
0.2648007510296958,0.014050936,0.131,39046.531,0.2487694,0.0160313510296958,0.0636798751293993,0.9861485898128676,1.049828464942267,0.2648007510296958,-0.24607462691545054,0.8067465082644628
0.2613136910296958,0.013000302,0.131,40056.777,0.24528234,0.0160313510296958,0.0636798751293993,0.9722972590699129,1.0359771341993123,0.2613136910296958,-0.25024796463369836,0.8276193595041322
0.2682878310296958,0.0164779,0.131,38014.254,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.2364342189312908,0.7854184710743802
0.2648007510296958,0.015206633,0.131,39000.258,0.2487694,0.0160313510296958,0.0636798751293993,0.9861485898128676,1.049828464942267,0.2648007510296958,-0.24148395701426148,0.8057904545454546
0.2613136910296958,0.014050936,0.131,40014.988,0.24528234,0.0160313510296958,0.0636798751293993,0.9722972590699129,1.0359771341993123,0.2613136910296958,-0.24607462691545054,0.8267559504132231
0.2578266210296958,0.013000302,0.131,41058.266,0.24179527,0.0160313510296958,0.0636798751293993,0.9584458886048695,1.0221257637342687,0.2578266210296958,-0.25024796463369836,0.8483112809917356
0.2682878310296958,0.017876294,0.131,37957.059,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.23087950584836042,0.7842367561983471
0.2648007510296958,0.0164779,0.131,38948.504,0.2487694,0.0160313510296958,0.0636798751293993,0.9861485898128676,1.049828464942267,0.2648007510296958,-0.2364342189312908,0.8047211570247934
0.2613136910296958,0.015206633,0.131,39968.285,0.24528234,0.0160313510296958,0.0636798751293993,0.9722972590699129,1.0359771341993123,0.2613136910296958,-0.24148395701426148,0.8257910123966943
0.2578266210296958,0.014050936,0.131,41016.289,0.24179527,0.0160313510296958,0.0636798751293993,0.9584458886048695,1.0221257637342687,0.2578266210296958,-0.24607462691545054,0.8474439876033057
0.2543395710296958,0.013000302,0.131,42090.859,0.23830822,0.0160313510296958,0.0636798751293993,0.9445945975840038,1.008274472713403,0.2543395710296958,-0.25024796463369836,0.869645847107438
0.2682878310296958,0.019414527,0.131,37893.039,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.22476932304602057,0.7829140289256198
0.2648007510296958,0.017876294,0.131,38890.59,0.2487694,0.0160313510296958,0.0636798751293993,0.9861485898128676,1.049828464942267,0.2648007510296958,-0.23087950584836042,0.8035245867768595
0.2613136910296958,0.0164779,0.131,39916.062,0.24528234,0.0160313510296958,0.0636798751293993,0.9722972590699129,1.0359771341993123,0.2613136910296958,-0.2364342189312908,0.8247120247933883
0.2578266210296958,0.015206633,0.131,40969.379,0.24179527,0.0160313510296958,0.0636798751293993,0.9584458886048695,1.0221257637342687,0.2578266210296958,-0.24148395701426148,0.8464747727272728
0.2543395710296958,0.014050936,0.131,42048.812,0.23830822,0.0160313510296958,0.0636798751293993,0.9445945975840038,1.008274472713403,0.2543395710296958,-0.24607462691545054,0.8687771074380165
0.2508524910296958,0.013000302,0.131,43153.074,0.23482114,0.0160313510296958,0.0636798751293993,0.9307431873968715,0.9944230625262708,0.2508524910296958,-0.25024796463369836,0.891592438016529
0.2682878310296958,0.021106582,0.131,37821.305,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.21804812712731828,0.7814319214876033
0.2648007510296958,0.019414527,0.131,38825.758,0.2487694,0.0160313510296958,0.0636798751293993,0.9861485898128676,1.049828464942267,0.2648007510296958,-0.22476932304602057,0.8021850826446282
0.2613136910296958,0.017876294,0.131,39857.672,0.24528234,0.0160313510296958,0.0636798751293993,0.9722972590699129,1.0359771341993123,0.2613136910296958,-0.23087950584836042,0.8235056198347107
0.2578266210296958,0.0164779,0.131,40916.934,0.24179527,0.0160313510296958,0.0636798751293993,0.9584458886048695,1.0221257637342687,0.2578266210296958,-0.2364342189312908,0.8453911983471074
0.2543395710296958,0.015206633,0.131,42001.816,0.23830822,0.0160313510296958,0.0636798751293993,0.9445945975840038,1.008274472713403,0.2543395710296958,-0.24148395701426148,0.8678061157024793
0.2508524910296958,0.014050936,0.131,43110.969,0.23482114,0.0160313510296958,0.0636798751293993,0.9307431873968715,0.9944230625262708,0.2508524910296958,-0.24607462691545054,0.8907225
0.2473654310296958,0.013000302,0.131,44244.723,0.23133408,0.0160313510296958,0.0636798751293993,0.9168918566539168,0.9805717317833161,0.2473654310296958,-0.25024796463369836,0.9141471694214875
0.2682878310296958,0.02295731,0.131,37741.363,0.25225648,0.0160313510296958,0.0636798751293993,1.0,1.0636798751293992,0.2682878310296958,-0.2106966489069129,0.7797802272727272
0.2648007510296958,0.021106582,0.131,38753.188,0.2487694,0.0160313510296958,0.0636798751293993,0.9861485898128676,1.049828464942267,0.2648007510296958,-0.21804812712731828,0.8006857024793389
