x_over_Lp,p_shifted_sim_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_shifted_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty,applied_shift_over_Lp,applied_shift_physical_m
0.0,1.063208367768595,1.042629482071713,0.01081670667191,0.020578885696882043,0.020578885696882043,0.009762179024972043,0.0636798751293993,0.0160313510296958
0.002506265664160401,1.063208367768595,1.048605577689243,0.004932480719240798,0.014602790079352168,0.014602790079352168,0.00967030936011137,0.0636798751293993,0.0160313510296958
0.005012531328320802,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.007518796992481203,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.010025062656641603,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.012531328320802004,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.015037593984962405,1.063208367768595,1.0486055776892431,0.0049324807192408,0.014602790079351946,0.014602790079351946,0.009670309360111146,0.0636798751293993,0.0160313510296958
0.017543859649122806,1.063208367768595,1.048605577689243,0.004932480719240799,0.014602790079352168,0.014602790079352168,0.00967030936011137,0.0636798751293993,0.0160313510296958
0.020050125313283207,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.022556390977443608,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.02506265664160401,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.02756892230576441,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.03007518796992481,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.03258145363408521,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.03508771929824561,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.03759398496240601,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.040100250626566414,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.042606516290726815,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.045112781954887216,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.047619047619047616,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.05012531328320802,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.05263157894736842,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.05513784461152882,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.05764411027568922,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
0.06015037593984962,1.063208367768595,1.048605577689243,0.0049324807192408,0.014602790079352168,0.014602790079352168,0.009670309360111368,0.0636798751293993,0.0160313510296958
