x_over_Lp,y_over_Lp,pressure_ratio,pressure_ratio_uncertainty,color_distance_rgb,x_pixel,y_pixel
0.0,-0.25,1.168503937007874,0.17290146580711413,0.6237700855037831,251.95591397849458,570.841935483871
0.002506265664160401,-0.25,1.1665354330708662,0.16066887209814548,0.5796317222919402,254.3995283908696,570.8392082356429
0.005012531328320802,-0.25,1.1625984251968504,0.15832199426000187,0.5711635129754025,256.84314280324463,570.8364809874148
0.007518796992481203,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,259.2867572156196,570.8337537391867
0.010025062656641603,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,261.73037162799466,570.8310264909586
0.012531328320802004,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,264.1739860403697,570.8282992427305
0.015037593984962405,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,266.61760045274474,570.8255719945024
0.017543859649122806,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,269.0612148651197,570.8228447462743
0.020050125313283207,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,271.50482927749476,570.8201174980462
0.022556390977443608,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,273.9484436898698,570.8173902498182
0.02506265664160401,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,276.39205810224485,570.81466300159
0.02756892230576441,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,278.83567251461983,570.8119357533618
0.03007518796992481,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,281.27928692699487,570.8092085051338
0.03258145363408521,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,283.7229013393699,570.8064812569057
0.03508771929824561,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,286.1665157517449,570.8037540086776
0.03759398496240601,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,288.61013016411994,570.8010267604495
0.040100250626566414,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,291.053744576495,570.7982995122214
0.042606516290726815,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,293.49735898887,570.7955722639934
0.045112781954887216,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,295.940973401245,570.7928450157652
0.047619047619047616,-0.25,1.1606299212598425,0.1581782101096653,0.5706446976982702,298.38458781362,570.790117767537
0.05012531328320802,-0.25,1.1625984251968504,0.15677652505125914,0.5655870032173493,300.8282022259951,570.787390519309
0.05263157894736842,-0.25,1.1625984251968504,0.15525143784509488,0.5600840273093488,303.27181663837007,570.784663271081
0.05513784461152882,-0.25,1.1625984251968504,0.1531306084839803,0.5524314156982438,305.7154310507451,570.781936022853
0.05764411027568922,-0.25,1.1625984251968504,0.1524044468934211,0.5498111940443755,308.1590454631201,570.7792087746247
0.06015037593984962,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,310.6026598754952,570.7764815263967
0.06265664160401002,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,313.0462742878702,570.7737542781687
0.06516290726817042,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,315.4898887002452,570.7710270299405
0.06766917293233082,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,317.9335031126202,570.7682997817124
0.07017543859649122,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,320.37711752499524,570.7655725334843
0.07268170426065163,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,322.8207319373703,570.7628452852562
0.07518796992481203,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,325.2643463497453,570.7601180370281
0.07769423558897243,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,327.7079607621203,570.7573907888
0.08020050125313283,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,330.1515751744953,570.754663540572
0.08270676691729323,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,332.5951895868704,570.7519362923439
0.08521303258145363,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,335.0388039992454,570.7492090441157
0.08771929824561403,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,337.4824184116204,570.7464817958876
0.09022556390977443,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,339.9260328239954,570.7437545476595
0.09273182957393483,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,342.3696472363705,570.7410272994314
0.09523809523809523,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,344.8132616487455,570.7383000512033
0.09774436090225563,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,347.25687606112047,570.7355728029752
0.10025062656641603,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,349.7004904734955,570.7328455547472
0.10275689223057644,-0.25,1.1625984251968504,0.1518266195315457,0.5477262075728444,352.14410488587055,570.730118306519
0.10526315789473684,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,354.5877192982456,570.7273910582909
0.10776942355889724,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,357.03133371062063,570.7246638100628
0.11027568922305764,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,359.4749481229956,570.7219365618347
0.11278195488721804,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,361.91856253537065,570.7192093136067
0.11528822055137844,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,364.36217694774564,570.7164820653786
0.11779448621553884,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,366.8057913601207,570.7137548171504
0.12030075187969924,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,369.2494057724957,570.7110275689223
0.12280701754385964,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,371.69302018487076,570.7083003206943
0.12531328320802004,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,374.13663459724575,570.7055730724661
0.12781954887218044,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,376.5802490096208,570.702845824238
0.13032581453634084,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,379.02386342199577,570.7001185760099
0.13283208020050125,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,381.46747783437087,570.6973913277819
0.13533834586466165,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,383.91109224674585,570.6946640795537
0.13784461152882205,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,386.3547066591209,570.6919368313256
0.14035087719298245,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,388.79832107149593,570.6892095830975
0.14285714285714285,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,391.241935483871,570.6864823348695
0.14536340852130325,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,393.68554989624596,570.6837550866413
0.14786967418546365,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,396.12916430862094,570.6810278384132
0.15037593984962405,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,398.572778720996,570.6783005901851
0.15288220551378445,-0.25,1.1625984251968504,0.1533472471371336,0.5532131162747816,401.016393133371,570.6755733419571
