x_over_Lp,y_over_Lp,p_sim_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty,signed_gap_beyond_digitization_uncertainty,difference_over_uncertainty
0.0,-0.25,1.0469788636363637,1.168503937007874,0.1729014658071141,-0.1215250733715103,0.1215250733715103,0.0,-0.0,-0.7028573922391241
0.002506265664160401,-0.25,1.047130443918565,1.1665354330708662,0.1606688720981454,-0.11940498915230124,0.11940498915230124,0.0,-0.0,-0.743174378415765
0.005012531328320802,-0.25,1.0472918437768521,1.1625984251968504,0.1583219942600018,-0.11530658141999828,0.11530658141999828,0.0,-0.0,-0.7283042508335126
0.007518796992481203,-0.25,1.0474350701791453,1.1606299212598423,0.1581782101096653,-0.11319485108069705,0.11319485108069705,0.0,-0.0,-0.7156159562193731
0.010025062656641603,-0.25,1.047571888657121,1.1606299212598423,0.1581782101096653,-0.11305803260272129,0.11305803260272129,0.0,-0.0,-0.7147509920888466
0.012531328320802004,-0.25,1.0476904934982392,1.1606299212598423,0.1581782101096653,-0.11293942776160315,0.11293942776160315,0.0,-0.0,-0.7140011742660509
0.015037593984962405,-0.25,1.04780836952416,1.1606299212598423,0.1581782101096653,-0.11282155173568231,0.11282155173568231,0.0,-0.0,-0.7132559640007489
0.017543859649122806,-0.25,1.047907876331626,1.160629921259842,0.15817821010966526,-0.11272204492821603,0.11272204492821603,0.0,-0.0,-0.7126268836274327
0.020050125313283207,-0.25,1.0480070972230096,1.1606299212598423,0.1581782101096653,-0.11262282403683277,0.11262282403683277,0.0,-0.0,-0.7119996108108135
0.022556390977443608,-0.25,1.0480978960905247,1.160629921259842,0.15817821010966526,-0.11253202516931737,0.11253202516931737,0.0,-0.0,-0.7114255818882936
0.02506265664160401,-0.25,1.0481854724799298,1.1606299212598423,0.1581782101096653,-0.11244444877991255,0.11244444877991255,0.0,-0.0,-0.7108719254185174
0.02756892230576441,-0.25,1.0482764286667419,1.1606299212598423,0.1581782101096653,-0.11235349259310046,0.11235349259310046,0.0,-0.0,-0.7102969019260336
0.03007518796992481,-0.25,1.0483621030148444,1.1606299212598423,0.1581782101096653,-0.11226781824499787,0.11226781824499787,0.0,-0.0,-0.7097552701295732
