x,y,pressure,x_over_Lp,y_over_Lp,p_over_pinf
0.00050738349,0.13794906,49304.332,0.0,0.24607460308219725,1.0186845454545455
0.00050738349,0.1389997,49318.551,0.0,0.2502479646336984,1.018978326446281
0.00050738361,0.1355221,49271.691,4.766650669962499e-10,0.23643421098687306,1.0180101446280991
0.00050738361,0.13679338,49288.629,4.766650669962499e-10,0.24148400070855927,1.0183601033057852
0.00050738372,0.13412371,49253.953,9.136080452197016e-10,0.23087951379277827,1.0176436570247933
0.00050738384,0.13258547,49235.934,1.3902731126466192e-09,0.22476930318497618,1.0172713636363637
0.0005073839,0.13089341,49218.109,1.6286056461447443e-09,0.21804808740522932,1.0169030785123967
0.00050738396,0.12904269,49200.91,1.8669381796428692e-09,0.21069664096249507,1.0165477272727272
0.00050738407,0.12711386,49185.176,2.303881157866321e-09,0.20303492528311676,1.016222644628099
0.00050738419,0.12518504,49171.117,2.7805462252932383e-09,0.19537324932582734,1.0159321694214876
0.00050738431,0.12325621,49158.27,3.2572112922894886e-09,0.18771153364644902,1.01566673553719
0.00050738442,0.12132739,49146.34,3.69415427051294e-09,0.18004985768915957,1.0154202479338843
0.00050738448,0.11939856,49135.219,3.932486804011065e-09,0.17238814200978125,1.0151904752066114
0.0005073846,0.11746974,49125.09,4.4091518714379824e-09,0.16472646605249183,1.0149811983471073
0.00050738471,0.11554092,49116.074,4.846094849661435e-09,0.15706479009520244,1.0147949173553719
0.00050738477,0.11361209,49108.32,5.08442738315956e-09,0.14940307441582407,1.0146347107438016
0.00050738489,0.11168326,49101.824,5.561092450155809e-09,0.14174135873644575,1.0145004958677686
0.000507385,0.10975444,49096.254,5.9980354283792606e-09,0.13407968277915627,1.0143854132231405
0.00050738512,0.10782561,49091.246,6.474700495806178e-09,0.12641796709977796,1.0142819421487603
0.00050738518,0.10589679,49086.203,6.7130330293043035e-09,0.11875629114248855,1.0141777479338843
0.0005073853,0.10396796,49080.625,7.189698096300554e-09,0.11109457546311018,1.0140625
0.00050738541,0.10203914,49074.148,7.626641074954673e-09,0.10343289950582077,1.0139286776859504
0.00050738547,0.10011031,49066.527,7.864973608452798e-09,0.0957711838264424,1.0137712190082644
0.00050738559,0.098181486,49057.812,8.341638675449048e-09,0.08810949198031742,1.0135911570247933
0.0005073857,0.096252665,49048.117,8.7785816536725e-09,0.08044781205081912,1.013390847107438
0.00050738582,0.094323844,49037.762,9.255246721099417e-09,0.07278613212132082,1.0131769008264464
0.00050738588,0.092395008,49027.027,9.493579254597542e-09,0.0651243926086891,1.012955103305785
0.00050738599,0.090466186,49016.262,9.930522232820994e-09,0.05746270870698191,1.0127326859504133
0.00050738611,0.088537365,49005.797,1.0407187299817243e-08,0.049801028777483616,1.0125164669421487
0.00050738617,0.086608537,48995.914,1.0645519833746036e-08,0.04213932104252302,1.0123122727272726
0.00050738628,0.084679708,48986.922,1.1082462811969489e-08,0.03447760933535359,1.0121264876033058
0.0005073864,0.082750887,48979.09,1.1559127878965737e-08,0.02681592940585524,1.0119646694214874
0.00050738652,0.080822065,48972.785,1.2035792945961988e-08,0.01915424550414805,1.0118344008264464
0.00050738658,0.078893237,48968.199,1.2274125479890781e-08,0.011492537769187513,1.0117396487603305
0.00050738669,0.076964408,48965.422,1.2711068458114233e-08,0.0038308260620180308,1.0116822727272727
0.00050738681,0.075035587,48964.602,1.3187733525110482e-08,-0.003830853867480268,1.0116653305785124
0.00050738687,0.073106766,48965.77,1.3426066058608607e-08,-0.011492533796978567,1.0116894628099173
0.00050738698,0.071177937,48968.844,1.3863009036832059e-08,-0.01915424550414805,1.0117529752066114
0.0005073871,0.069249108,48973.625,1.4339674104258976e-08,-0.02681595721131748,1.011851756198347
0.00050738722,0.067320287,48980.066,1.4816339171255226e-08,-0.034477637140815774,1.0119848347107439
0.00050738727,0.065391466,48987.867,1.5014949615980553e-08,-0.04213931707031413,1.012146012396694
0.00050738739,0.063462637,48996.691,1.549161468340747e-08,-0.04980102877748356,1.012328326446281
0.00050738751,0.061533809,49006.215,1.596827975040372e-08,-0.05746273651244412,1.0125251033057852
0.00050738757,0.059604988,49016.156,1.6206612283901846e-08,-0.06512441644194245,1.0127304958677688
0.00050738768,0.057676159,49026.148,1.6643555262125298e-08,-0.07278612814911191,1.0129369421487604
0.0005073878,0.055747338,49035.906,1.7120220329552215e-08,-0.0804478080786102,1.0131385537190083
0.00050738791,0.053818509,49045.078,1.7557163307775667e-08,-0.08810951978577966,1.0133280578512398
0.00050738803,0.051889684,49053.375,1.8033828374771917e-08,-0.09577121560411354,1.0134994834710744
0.00050738809,0.049960859,49060.684,1.8272160908270042e-08,-0.10343291142244741,1.0136504958677686
0.00050738821,0.048032038,49066.934,1.874882597569696e-08,-0.11109459135194574,1.0137796280991735
0.00050738826,0.046103209,49072.363,1.8947436420422286e-08,-0.11875630305911519,1.0138917975206612
0.00050738838,0.044174388,49077.297,1.9424101487418537e-08,-0.12641798298861348,1.0139937396694214
0.0005073885,0.042245559,49082.285,1.9900766554414787e-08,-0.13407969469578296,1.0140967975206612
0.00050738861,0.040316738,49087.84,2.033770953263824e-08,-0.14174137462528127,1.0142115702479337
0.00050738873,0.03838791,49094.371,2.0814374600065156e-08,-0.14940308236024183,1.0143465082644627
0.00050738879,0.036459088,49102.223,2.105270713356328e-08,-0.15706476626194904,1.0145087396694215
0.0005073889,0.03453026,49111.426,2.1489650111786733e-08,-0.1647264739969096,1.0146988842975206
0.00050738896,0.032601438,49121.816,2.172798264528486e-08,-0.17238815789861678,1.0149135537190082
0.00050738908,0.030672612,49133.258,2.2204647712711775e-08,-0.18004985768915957,1.015149958677686
0.0005073892,0.028743785,49145.531,2.2681312779708026e-08,-0.18771156145191123,1.0154035330578512
0.00050738931,0.02681496,49158.723,2.3118255757931474e-08,-0.19537325727024513,1.0156760950413222
0.00050738943,0.024886135,49173.055,2.3594920825358395e-08,-0.203034953088579,1.0159722107438016
0.00050738949,0.02295731,49189.07,2.383325335885652e-08,-0.2106966489069129,1.0163030991735538
0.0005073896,0.021106582,49206.441,2.4270196337079972e-08,-0.21804812712731828,1.0166620041322314
0.00050738966,0.019414527,49224.379,2.4508528870578094e-08,-0.22476932304602057,1.0170326239669423
0.00050738978,0.017876294,49242.445,2.4985193938005014e-08,-0.23087950584836042,1.017405888429752
0.00050738984,0.0164779,49260.188,2.522352647150314e-08,-0.2364342189312908,1.017772479338843
0.00050738989,0.015206633,49277.094,2.5422136916228466e-08,-0.24148395701426148,1.0181217768595041
0.00050739001,0.013000302,49306.969,2.5898801983224713e-08,-0.25024796463369836,1.0187390289256197
0.00050739001,0.014050936,49292.766,2.5898801983224713e-08,-0.24607462691545054,1.0184455785123967
0.0015965886,0.1389997,49329.871,0.004326550224408588,0.2502479646336984,1.0192122107438015
0.0015965889,0.13794906,49315.695,0.004326551416071256,0.24607460308219725,1.0189193181818181
0.0015965891,0.1355221,49282.918,0.004326552210513035,0.23643421098687306,1.0182421074380166
0.0015965891,0.13679338,49299.965,0.004326552210513035,0.24148400070855927,1.018594318181818
0.0015965895,0.13412371,49264.996,0.0043265537993965935,0.23087951379277827,1.0178718181818183
0.0015965898,0.13089341,49228.637,0.004326554991059261,0.21804808740522932,1.0171205991735537
0.0015965898,0.13258547,49246.734,0.004326554991059261,0.22476930318497618,1.0174945041322314
0.0015965903,0.12904269,49211.16,0.004326556977163707,0.21069664096249507,1.0167595041322315
0.0015965905,0.12711386,49195.188,0.004326557771605486,0.20303492528311676,1.0164295041322315
0.0015965909,0.12518504,49180.93,0.004326559360489044,0.19537324932582734,1.016134917355372
0.0015965911,0.12325621,49167.914,0.004326560154930823,0.18771153364644902,1.015865991735537
0.0015965912,0.12132739,49155.836,0.004326560552151711,0.18004985768915957,1.0156164462809918
0.0015965917,0.11939856,49144.586,0.0043265625382561575,0.17238814200978125,1.015384008264463
0.0015965919,0.11746974,49134.312,0.004326563332697936,0.16472646605249183,1.01517173553719
0.0015965923,0.11554092,49125.129,0.004326564921581494,0.15706479009520244,1.0149820041322315
0.0015965925,0.11361209,49117.145,0.004326565716023271,0.14940307441582407,1.0148170454545453
0.0015965927,0.11168326,49110.344,0.00432656651046505,0.14174135873644575,1.0146765289256199
0.0015965931,0.10975444,49104.383,0.004326568099348609,0.13407968277915627,1.0145533677685952
0.0015965933,0.10782561,49098.871,0.0043265688937903874,0.12641796709977796,1.0144394834710744
0.0015965936,0.10589679,49093.238,0.004326570085453055,0.11875629114248855,1.0143230991735537
0.001596594,0.10396796,49086.961,0.004326571674336611,0.11109457546311018,1.014193409090909
0.0015965942,0.10203914,49079.66,0.00432657246877839,0.10343289950582077,1.0140425619834712
0.0015965945,0.10011031,49071.098,0.004326573660441059,0.0957711838264424,1.0138656611570247
0.0015965948,0.098181486,49061.348,0.0043265748521037276,0.08810949198031742,1.013664214876033
0.001596595,0.096252665,49050.547,0.004326575646545505,0.08044781205081912,1.0134410537190082
0.0015965954,0.094323844,49039.047,0.004326577235429062,0.07278613212132082,1.013203450413223
0.0015965956,0.092395008,49027.176,0.004326578029870841,0.0651243926086891,1.0129581818181819
0.0015965959,0.090466186,49015.312,0.004326579221533509,0.05746270870698191,1.0127130578512396
0.0015965962,0.088537365,49003.844,0.004326580413196178,0.049801028777483616,1.0124761157024793
0.0015965964,0.086608537,48993.09,0.004326581207637955,0.04213932104252302,1.0122539256198346
0.0015965968,0.084679708,48983.387,0.004326582796521513,0.03447760933535359,1.0120534504132233
0.001596597,0.082750887,48975.02,0.0043265835909632915,0.02681592940585524,1.0118805785123965
0.0015965973,0.080822065,48968.27,0.00432658478262596,0.01915424550414805,1.0117411157024794
0.0015965976,0.078893237,48963.297,0.004326585974288626,0.011492537769187513,1.011638367768595
0.001596598,0.076964408,48960.32,0.004326587563172184,0.0038308260620180308,1.0115768595041321
0.0015965982,0.075035587,48959.461,0.004326588357613963,-0.003830853867480268,1.011559111570248
0.0015965984,0.073106766,48960.738,0.004326589152055743,-0.011492533796978567,1.0115854958677686
0.0015965988,0.071177937,48964.074,0.004326590740939299,-0.01915424550414805,1.0116544214876033
0.0015965991,0.069249108,48969.355,0.004326591932601966,-0.02681595721131748,1.0117635330578514
0.0015965994,0.067320287,48976.34,0.004326593124264635,-0.034477637140815774,1.0119078512396693
0.0015965996,0.065391466,48984.812,0.004326593918706414,-0.04213931707031413,1.0120828925619834
0.0015965998,0.063462637,48994.484,0.004326594713148193,-0.04980102877748356,1.0122827272727273
0.0015966002,0.061533809,49005.0,0.004326596302031749,-0.05746273651244412,1.0125
0.0015966005,0.059604988,49016.027,0.0043265974936944175,-0.06512441644194245,1.0127278305785123
0.0015966007,0.057676159,49027.16,0.004326598288136196,-0.07278612814911191,1.0129578512396695
0.001596601,0.055747338,49038.066,0.004326599479798864,-0.0804478080786102,1.0131831818181818
0.0015966013,0.053818509,49048.352,0.004326600671461531,-0.08810951978577966,1.0133957024793387
0.0015966017,0.051889684,49057.703,0.004326602260345089,-0.09577121560411354,1.0135889049586777
0.0015966019,0.049960859,49065.973,0.004326603054786868,-0.10343291142244741,1.0137597727272727
0.0015966021,0.048032038,49073.074,0.004326603849228647,-0.11109459135194574,1.0139064876033057
0.0015966024,0.046103209,49079.23,0.004326605040891315,-0.11875630305911519,1.0140336776859504
0.0015966027,0.044174388,49084.77,0.0043266062325539815,-0.12641798298861348,1.0141481404958677
0.0015966031,0.042245559,49090.27,0.004326607821437539,-0.13407969469578296,1.0142617768595041
0.0015966034,0.040316738,49096.219,0.004326609013100208,-0.14174137462528127,1.0143846900826445
0.0015966037,0.03838791,49103.07,0.004326610204762877,-0.14940308236024183,1.0145262396694215
0.0015966038,0.036459088,49111.168,0.004326610601983766,-0.15706476626194904,1.0146935537190083
0.0015966041,0.03453026,49120.555,0.004326611793646433,-0.1647264739969096,1.0148875
0.0015966045,0.032601438,49131.098,0.00432661338252999,-0.17238815789861678,1.0151053305785123
0.0015966047,0.030672612,49142.676,0.004326614176971769,-0.18004985768915957,1.0153445454545453
0.0015966051,0.028743785,49155.105,0.004326615765855327,-0.18771156145191123,1.0156013429752067
0.0015966053,0.02681496,49168.477,0.004326616560297104,-0.19537325727024513,1.015877623966942
0.0015966056,0.024886135,49183.031,0.004326617751959773,-0.203034953088579,1.0161783264462811
0.0015966059,0.02295731,49199.32,0.0043266189436224406,-0.2106966489069129,1.0165148760330578
0.0015966061,0.021106582,49216.98,0.004326619738064219,-0.21804812712731828,1.0168797520661157
0.0015966063,0.019414527,49235.18,0.004326620532505998,-0.22476932304602057,1.017255785123967
0.0015966066,0.017876294,49253.461,0.004326621724168665,-0.23087950584836042,1.0176334917355372
0.0015966067,0.0164779,49271.348,0.004326622121389554,-0.2364342189312908,1.0180030578512396
0.001596607,0.014050936,49303.996,0.004326623313052223,-0.24607462691545054,1.0186776033057852
0.001596607,0.015206633,49288.324,0.004326623313052223,-0.24148395701426148,1.0183538016528926
0.0015966075,0.013000302,49318.129,0.0043266252991566705,-0.25024796463369836,1.0189696074380166
0.0028345129,0.1389997,49342.41,0.009243844137917538,0.2502479646336984,1.0194712809917357
0.0028345131,0.13794906,49328.426,0.009243844932359318,0.24607460308219725,1.0191823553719008
0.0028345133,0.13679338,49312.816,0.009243845726801096,0.24148400070855927,1.0188598347107438
0.0028345136,0.1355221,49295.785,0.009243846918463763,0.23643421098687306,1.0185079545454545
0.002834514,0.13412371,49277.766,0.00924384850734732,0.23087951379277827,1.018135661157025
0.0028345145,0.13258547,49259.301,0.009243850493451767,0.22476930318497618,1.017754152892562
0.0028345147,0.13089341,49240.938,0.009243851287893547,0.21804808740522932,1.0173747520661158
0.0028345152,0.12904269,49223.164,0.009243853273997994,0.21069664096249507,1.017007520661157
0.0028345156,0.12711386,49206.902,0.00924385486288155,0.20303492528311676,1.0166715289256198
0.0028345161,0.12518504,49192.391,0.009243856848985996,0.19537324932582734,1.0163717148760332
0.0028345166,0.12325621,49179.172,0.009243858835090442,0.18771153364644902,1.0160985950413224
0.0028345168,0.12132739,49166.934,0.009243859629532222,0.18004985768915957,1.0158457438016528
0.0028345173,0.11939856,49155.539,0.00924386161563667,0.17238814200978125,1.0156103099173552
0.0028345177,0.11746974,49145.133,0.009243863204520227,0.16472646605249183,1.0153953099173554
0.0028345184,0.11554092,49135.766,0.00924386598506645,0.15706479009520244,1.0152017768595043
