x_over_Lp,y_over_Lp,p_sim_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty,signed_gap_beyond_digitization_uncertainty,difference_over_uncertainty
0.0,-0.25,1.0187390289256197,1.2,0.2263596542118076,-0.18126097107438022,0.18126097107438022,0.0,-0.0,-0.800765364771109
0.002506265664160401,-0.25,1.0188552447468118,1.2,0.2221574669911327,-0.18114475525318818,0.18114475525318818,0.0,-0.0,-0.8153890018039254
0.005012531328320802,-0.25,1.0189880620881782,1.2,0.2221574669911327,-0.1810119379118218,0.1810119379118218,0.0,-0.0,-0.814791149554504
0.007518796992481203,-0.25,1.0191177145743946,1.2,0.2221574669911327,-0.18088228542560536,0.18088228542560536,0.0,-0.0,-0.8142075433045209
0.010025062656641603,-0.25,1.0192442256764607,1.2,0.2221574669911327,-0.1807557743235393,0.1807557743235393,0.0,-0.0,-0.8136380774036915
0.012531328320802004,-0.25,1.0193624909729044,1.2,0.2221574669911327,-0.18063750902709552,0.18063750902709552,0.0,-0.0,-0.8131057284439851
0.015037593984962405,-0.25,1.0194801468098522,1.2,0.22215746699113267,-0.18051985319014774,0.18051985319014774,0.0,-0.0,-0.8125761228514238
0.017543859649122806,-0.25,1.0195931844542734,1.1999999999999997,0.22215746699113267,-0.18040681554572635,0.18040681554572635,0.0,-0.0,-0.8120673051828018
0.020050125313283207,-0.25,1.019706217858804,1.2,0.2221574669911327,-0.18029378214119585,0.18029378214119585,0.0,-0.0,-0.8115585065992501
0.022556390977443608,-0.25,1.0198225868921715,1.1999999999999997,0.22215746699113267,-0.1801774131078282,0.1801774131078282,0.0,-0.0,-0.8110346933106682
0.02506265664160401,-0.25,1.0199402322210087,1.2,0.2221574669911327,-0.18005976777899124,0.18005976777899124,0.0,-0.0,-0.8105051350183887
0.02756892230576441,-0.25,1.0200578894249557,1.2,0.22215746699113273,-0.17994211057504428,0.17994211057504428,0.0,-0.0,-0.8099755232725379
0.03007518796992481,-0.25,1.0201830868222677,1.2,0.22215746699113273,-0.1798169131777323,0.1798169131777323,0.0,-0.0,-0.8094119707662564
0.03258145363408521,-0.25,1.0203083038511809,1.2,0.2221574669911327,-0.17969169614881908,0.17969169614881908,0.0,-0.0,-0.8088483298920193
0.03508771929824561,-0.25,1.0204343326028853,1.2,0.2221574669911327,-0.17956566739711466,0.17956566739711466,0.0,-0.0,-0.8082810352005045
0.03759398496240601,-0.25,1.0205614427192373,1.2,0.2221574669911327,-0.17943855728076263,0.17943855728076263,0.0,-0.0,-0.807708872949676
0.040100250626566414,-0.25,1.0206885528355893,1.2,0.2221574669911327,-0.1793114471644106,0.1793114471644106,0.0,-0.0,-0.8071367106988474
0.042606516290726815,-0.25,1.020812393608255,1.2,0.2221574669911327,-0.17918760639174502,0.17918760639174502,0.0,-0.0,-0.8065792647829263
0.045112781954887216,-0.25,1.0209342020480385,1.2,0.2221574669911327,-0.17906579795196143,0.17906579795196143,0.0,-0.0,-0.8060309670307356
0.047619047619047616,-0.25,1.0210560104878221,1.2,0.2221574669911327,-0.17894398951217783,0.17894398951217783,0.0,-0.0,-0.8054826692785451
0.05012531328320802,-0.25,1.0211694006070142,1.2,0.2221574669911327,-0.17883059939298573,0.17883059939298573,0.0,-0.0,-0.8049722650111223
