x_over_Lp,p_sim_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty
0.0,1.0419297210743803,1.129133858267716,0.051752743180580034,-0.08720413719333564,0.08720413719333564,0.035451394012755606
0.002506265664160401,1.0419848633753515,1.038582677165354,0.018894674304316624,0.0034021862099975486,0.0034021862099975486,0.0
0.005012531328320802,1.042034456256021,1.0484251968503937,0.0043517719349014895,-0.0063907405943726125,0.0063907405943726125,0.002038968659471123
0.007518796992481203,1.0420698125713141,1.0484251968503937,0.0028405976125680985,-0.006355384279079557,0.006355384279079557,0.003514786666511458
0.010025062656641603,1.0421017147874188,1.0484251968503937,0.0028405976125681,-0.00632348206297495,0.00632348206297495,0.00348288445040685
0.012531328320802004,1.0421263891655546,1.0484251968503937,0.0028405976125681,-0.006298807684839147,0.006298807684839147,0.0034582100722710474
0.015037593984962405,1.042151022902399,1.048425196850394,0.0028405976125681,-0.00627417394799501,0.00627417394799501,0.00343357633542691
0.017543859649122806,1.0421766530321825,1.0484251968503937,0.0028405976125680994,-0.006248543818211161,0.006248543818211161,0.0034079462056430614
0.020050125313283207,1.042202100150327,1.0484251968503937,0.0028405976125681,-0.00622309670006671,0.00622309670006671,0.0033824990874986105
0.022556390977443608,1.042232784725288,1.0484251968503937,0.0028405976125681,-0.006192412125105795,0.006192412125105795,0.0033518145125376953
0.02506265664160401,1.0422654012691104,1.0484251968503937,0.0028405976125681,-0.006159795581283323,0.006159795581283323,0.003319197968715223
0.02756892230576441,1.0422994375103394,1.0484251968503937,0.0028405976125681,-0.006125759340054326,0.006125759340054326,0.0032851617274862266
0.03007518796992481,1.0423418997716642,1.0484251968503937,0.0028405976125681002,-0.006083297078729455,0.006083297078729455,0.0032426994661613547
0.03258145363408521,1.0423842975701936,1.0484251968503937,0.0028405976125681,-0.006040899280200129,0.006040899280200129,0.0032003016676320295
0.03508771929824561,1.0424313936203395,1.0484251968503937,0.0028405976125681,-0.005993803230054162,0.005993803230054162,0.0031532056174860624
0.03759398496240601,1.0424838978298776,1.0484251968503937,0.0028405976125681,-0.0059412990205161,0.0059412990205161,0.003100701407948
0.040100250626566414,1.0425363855018626,1.0484251968503937,0.0028405976125681,-0.005888811348531142,0.005888811348531142,0.0030482137359630424
0.042606516290726815,1.0425950513065425,1.0484251968503937,0.0028405976125681,-0.005830145543851195,0.005830145543851195,0.0029895479312830953
0.045112781954887216,1.042656067777213,1.0484251968503937,0.0028405976125681,-0.005769129073180723,0.005769129073180723,0.0029285314606126234
0.047619047619047616,1.0427170052326007,1.0484251968503937,0.0028405976125681,-0.0057081916177930125,0.0057081916177930125,0.0028675940052249127
0.05012531328320802,1.0427844310950505,1.0484251968503937,0.0028405976125681,-0.0056407657553432244,0.0056407657553432244,0.0028001681427751246
0.05263157894736842,1.042852164545688,1.0484251968503937,0.0028405976125681,-0.005573032304705627,0.005573032304705627,0.0027324346921375276
0.05513784461152882,1.0429215976839354,1.0484251968503937,0.0028405976125681,-0.005503599166458262,0.005503599166458262,0.002663001553890162
0.05764411027568922,1.0429944744063255,1.0484251968503937,0.0028405976125681,-0.00543072244406817,0.00543072244406817,0.0025901248315000703
