shift_over_Lp,shift_physical_m,fit_error,objective_method
-0.2,-0.050349819302,0.11603919041217432,robust_weighted
-0.199,-0.05009807020549,0.11592858654011057,robust_weighted
-0.198,-0.04984632110898,0.11581982747683967,robust_weighted
-0.197,-0.04959457201247,0.11571291201156227,robust_weighted
-0.196,-0.049342822915960004,0.11560899784036652,robust_weighted
-0.195,-0.04909107381945,0.11550524297990737,robust_weighted
-0.194,-0.04883932472294,0.11540176334204283,robust_weighted
-0.193,-0.04858757562643,0.11529262926518453,robust_weighted
-0.192,-0.04833582652992,0.11517857753190111,robust_weighted
-0.191,-0.04808407743341,0.11506521543824484,robust_weighted
-0.19,-0.0478323283369,0.11495198324709731,robust_weighted
-0.189,-0.04758057924039,0.11486113793807917,robust_weighted
-0.188,-0.04732883014388,0.11477150881101979,robust_weighted
-0.187,-0.04707708104737,0.11468045509143043,robust_weighted
-0.186,-0.04682533195086,0.11458924375287022,robust_weighted
-0.185,-0.046573582854349996,0.11449789266877208,robust_weighted
-0.184,-0.04632183375784,0.11439847741641684,robust_weighted
-0.183,-0.046070084661329995,0.11429970569382758,robust_weighted
-0.182,-0.04581833556482,0.11420896484549502,robust_weighted
-0.18100000000000002,-0.04556658646831,0.11411786105276248,robust_weighted
-0.18000000000000002,-0.045314837371800004,0.11402957768841158,robust_weighted
-0.17900000000000002,-0.04506308827529,0.11392993688348776,robust_weighted
-0.17800000000000002,-0.04481133917878,0.11382715903024734,robust_weighted
-0.17700000000000002,-0.044559590082270006,0.11373411372535408,robust_weighted
-0.17600000000000002,-0.04430784098576,0.1136426535397691,robust_weighted
-0.17500000000000002,-0.044056091889250006,0.1135282722612736,robust_weighted
-0.17400000000000002,-0.04380434279274,0.11343309154297283,robust_weighted
-0.17300000000000001,-0.043552593696230005,0.11333844272916925,robust_weighted
-0.17200000000000001,-0.04330084459972,0.11324328737885586,robust_weighted
-0.171,-0.043049095503210004,0.11314818784511041,robust_weighted
-0.17,-0.0427973464067,0.1130547050644575,robust_weighted
-0.169,-0.04254559731019,0.11297826563549243,robust_weighted
-0.168,-0.04229384821368,0.11288972232245803,robust_weighted
-0.167,-0.04204209911717,0.11279408949985129,robust_weighted
-0.166,-0.04179035002066,0.11269892898255657,robust_weighted
-0.165,-0.04153860092415,0.11260367006049686,robust_weighted
-0.164,-0.04128685182764,0.11251345047785039,robust_weighted
-0.163,-0.04103510273113,0.11242303135190142,robust_weighted
-0.162,-0.04078335363462,0.11233059858806027,robust_weighted
-0.161,-0.04053160453811,0.11223905137274502,robust_weighted
-0.16,-0.0402798554416,0.11214736531709422,robust_weighted
-0.159,-0.04002810634509,0.11205670376288433,robust_weighted
-0.158,-0.03977635724858,0.11196672922893458,robust_weighted
-0.157,-0.03952460815207,0.11187562951904136,robust_weighted
-0.15600000000000003,-0.03927285905556001,0.11178560361696055,robust_weighted
-0.15500000000000003,-0.039021109959050004,0.11169576756059657,robust_weighted
-0.15400000000000003,-0.03876936086254001,0.11160942101841963,robust_weighted
-0.15300000000000002,-0.038517611766030004,0.11152720460130475,robust_weighted
-0.15200000000000002,-0.03826586266952001,0.11144654840167761,robust_weighted
-0.15100000000000002,-0.03801411357301,0.11136681890701693,robust_weighted
-0.15000000000000002,-0.037762364476500006,0.111247524026864,robust_weighted
-0.14900000000000002,-0.03751061537999,0.11116140742967434,robust_weighted
-0.14800000000000002,-0.037258866283480005,0.11108165757090874,robust_weighted
-0.14700000000000002,-0.03700711718697,0.1110060706044141,robust_weighted
-0.14600000000000002,-0.036755368090460004,0.11093703291420082,robust_weighted
-0.14500000000000002,-0.03650361899395,0.11086913123432492,robust_weighted
-0.14400000000000002,-0.03625186989744,0.1107922661692415,robust_weighted
-0.14300000000000002,-0.036000120800930006,0.1107204576535489,robust_weighted
-0.14200000000000002,-0.03574837170442,0.11065225460868022,robust_weighted
-0.14100000000000001,-0.035496622607910006,0.11058600435489999,robust_weighted
-0.14,-0.0352448735114,0.11052170067438172,robust_weighted
-0.139,-0.034993124414890005,0.11045722916011291,robust_weighted
-0.138,-0.03474137531838,0.11039328800349002,robust_weighted
-0.137,-0.034489626221870004,0.11032989001449514,robust_weighted
-0.136,-0.03423787712536,0.11026731928821881,robust_weighted
-0.135,-0.03398612802885,0.11020573314038201,robust_weighted
-0.134,-0.03373437893234,0.11015309718565157,robust_weighted
-0.133,-0.03348262983583,0.11010593003974767,robust_weighted
-0.132,-0.03323088073932,0.11003199263130553,robust_weighted
-0.131,-0.03297913164281,0.1099650674371967,robust_weighted
-0.13,-0.0327273825463,0.10989372220091882,robust_weighted
-0.129,-0.03247563344979,0.10982894583042745,robust_weighted
-0.128,-0.03222388435328,0.10977222943906051,robust_weighted
