x_over_Lp,p_sim_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty
0.0,1.063208367768595,1.042629482071713,0.01081670667191,0.020578885696882043,0.020578885696882043,0.009762179024972043
0.002506265664160401,1.0630053313490686,1.048605577689243,0.004932480719240798,0.01439975365982571,0.01439975365982571,0.00946727294058491
0.005012531328320802,1.062806083908621,1.048605577689243,0.0049324807192408,0.014200506219378184,0.014200506219378184,0.009268025500137384
0.007518796992481203,1.0626173056025285,1.048605577689243,0.0049324807192408,0.014011727913285643,0.014011727913285643,0.009079247194044843
0.010025062656641603,1.0624339635096751,1.048605577689243,0.0049324807192408,0.01382838582043222,0.01382838582043222,0.00889590510119142
0.012531328320802004,1.0622628310313798,1.048605577689243,0.0049324807192408,0.013657253342136855,0.013657253342136855,0.008724772622896055
0.015037593984962405,1.062093879985015,1.0486055776892431,0.0049324807192408,0.013488302295771915,0.013488302295771915,0.008555821576531114
0.017543859649122806,1.0619412410689728,1.048605577689243,0.004932480719240799,0.013335663379729912,0.013335663379729912,0.008403182660489113
0.020050125313283207,1.0617886230745512,1.048605577689243,0.0049324807192408,0.013183045385308345,0.013183045385308345,0.008250564666067545
0.022556390977443608,1.0616485317938553,1.048605577689243,0.0049324807192408,0.013042954104612425,0.013042954104612425,0.008110473385371625
0.02506265664160401,1.0615132685583122,1.048605577689243,0.0049324807192408,0.012907690869069288,0.012907690869069288,0.007975210149828488
0.02756892230576441,1.0613806293301615,1.048605577689243,0.0049324807192408,0.012775051640918633,0.012775051640918633,0.007842570921677833
0.03007518796992481,1.0612620680584366,1.048605577689243,0.0049324807192408,0.012656490369193696,0.012656490369193696,0.007724009649952896
0.03258145363408521,1.0611436099271847,1.048605577689243,0.0049324807192408,0.01253803223794181,0.01253803223794181,0.0076055515187010096
0.03508771929824561,1.0610336306605,1.048605577689243,0.0049324807192408,0.012428052971257042,0.012428052971257042,0.007495572252016242
0.03759398496240601,1.0609332295027156,1.048605577689243,0.0049324807192408,0.012327651813472729,0.012327651813472729,0.0073951710942319285
0.040100250626566414,1.0608327167164489,1.048605577689243,0.0049324807192408,0.012227139027205958,0.012227139027205958,0.007294658307965158
0.042606516290726815,1.0607464464368923,1.048605577689243,0.0049324807192408,0.012140868747649414,0.012140868747649414,0.007208388028408614
0.045112781954887216,1.0606656189604402,1.048605577689243,0.0049324807192408,0.012060041271197308,0.012060041271197308,0.007127560551956508
0.047619047619047616,1.060584629294724,1.048605577689243,0.0049324807192408,0.011979051605481184,0.011979051605481184,0.007046570886240383
0.05012531328320802,1.0605224914148392,1.048605577689243,0.0049324807192408,0.011916913725596334,0.011916913725596334,0.006984433006355534
0.05263157894736842,1.0604608895121748,1.048605577689243,0.0049324807192408,0.011855311822931869,0.011855311822931869,0.006922831103691069
0.05513784461152882,1.0604046412342734,1.048605577689243,0.0049324807192408,0.011799063545030464,0.011799063545030464,0.006866582825789664
0.05764411027568922,1.0603596148959942,1.048605577689243,0.0049324807192408,0.011754037206751278,0.011754037206751278,0.006821556487510478
0.06015037593984962,1.0603147942573425,1.048605577689243,0.0049324807192408,0.011709216568099645,0.011709216568099645,0.006776735848858845
0.06265664160401002,1.0602801371586308,1.048605577689243,0.0049324807192408,0.01167455946938789,0.01167455946938789,0.006742078750147091
0.06516290726817042,1.0602483621303995,1.048605577689243,0.0049324807192408,0.011642784441156628,0.011642784441156628,0.006710303721915828
0.06766917293233082,1.0602208585901358,1.048605577689243,0.0049324807192408,0.011615280900892921,0.011615280900892921,0.006682800181652121
0.07017543859649122,1.060198663041103,1.048605577689243,0.0049324807192408,0.01159308535186021,0.01159308535186021,0.0066606046326194105
0.07268170426065163,1.060178791430419,1.048605577689243,0.0049324807192408,0.011573213741176147,0.011573213741176147,0.006640733021935347
0.07518796992481203,1.0601634462384915,1.048605577689243,0.0049324807192408,0.011557868549248562,0.011557868549248562,0.006625387830007762
0.07769423558897243,1.0601498644085332,1.048605577689243,0.0049324807192408,0.011544286719290309,0.011544286719290309,0.006611806000049509
0.08020050125313283,1.0601392139101216,1.048605577689243,0.0049324807192408,0.011533636220878662,0.011533636220878662,0.006601155501637862
