x_over_Lp,y_over_Lp,p_sim_over_pinf,p_digitized_over_pinf,digitization_uncertainty,difference_sim_minus_digitized,absolute_difference,gap_beyond_digitization_uncertainty,signed_gap_beyond_digitization_uncertainty,difference_over_uncertainty
0.0,-0.25,1.064541652892562,1.150199203187251,0.0675297120745784,-0.08565755029468902,0.08565755029468902,0.018127838220110618,-0.018127838220110618,-1.2684424035466138
0.002506265664160401,-0.25,1.0646224479316766,1.1243027888446215,0.0629300731639264,-0.05968034091294494,0.05968034091294494,0.0,-0.0,-0.9483596301800533
0.005012531328320802,-0.25,1.064696305392692,1.1243027888446215,0.0629300731639264,-0.059606483451929426,0.059606483451929426,0.0,-0.0,-0.9471859868438518
0.007518796992481203,-0.25,1.0647737974971445,1.1243027888446215,0.0629300731639264,-0.05952899134747702,0.05952899134747702,0.0,-0.0,-0.9459545866474697
0.010025062656641603,-0.25,1.064849428068936,1.1243027888446215,0.0629300731639264,-0.059453360775685526,0.059453360775685526,0.0,-0.0,-0.9447527674219542
0.012531328320802004,-0.25,1.064924679641383,1.1243027888446215,0.0629300731639264,-0.059378109203238605,0.059378109203238605,0.0,-0.0,-0.9435569707437763
0.015037593984962405,-0.25,1.064999831845889,1.1243027888446215,0.0629300731639264,-0.05930295699873245,0.05930295699873245,0.0,-0.0,-0.9423627530871339
0.017543859649122806,-0.25,1.0650792138368328,1.1243027888446213,0.0629300731639264,-0.05922357500778852,0.05922357500778852,0.0,-0.0,-0.9411013213589815
0.020050125313283207,-0.25,1.0651626172734783,1.1243027888446215,0.0629300731639264,-0.05914017157114326,0.05914017157114326,0.0,-0.0,-0.9397759862298136
0.022556390977443608,-0.25,1.0652465127703845,1.1243027888446213,0.0629300731639264,-0.0590562760742368,0.0590562760742368,0.0,-0.0,-0.9384428319414351
0.02506265664160401,-0.25,1.0653346476393353,1.1243027888446215,0.0652574464761946,-0.05896814120528626,0.05896814120528626,0.0,-0.0,-0.9036231784949995
0.02756892230576441,-0.25,1.065423669741937,1.1243027888446215,0.0652574464761946,-0.05887911910268451,0.05887911910268451,0.0,-0.0,-0.9022590107653561
0.03007518796992481,-0.25,1.0655119042322385,1.1243027888446215,0.0652574464761946,-0.05879088461238302,0.05879088461238302,0.0,-0.0,-0.9009069123449303
0.03258145363408521,-0.25,1.0656012168623195,1.1243027888446215,0.0652574464761946,-0.05870157198230208,0.05870157198230208,0.0,-0.0,-0.8995382925949448
0.03508771929824561,-0.25,1.0656927416196567,1.1243027888446215,0.0652574464761946,-0.05861004722496488,0.05861004722496488,0.0,-0.0,-0.8981357743800987
0.03759398496240601,-0.25,1.065784266376994,1.1243027888446215,0.0652574464761946,-0.058518522467627454,0.058518522467627454,0.0,-0.0,-0.8967332561652493
0.040100250626566414,-0.25,1.065877363991617,1.1243027888446215,0.0652574464761946,-0.058425424853004504,0.058425424853004504,0.0,-0.0,-0.8953066356085146
0.042606516290726815,-0.25,1.0659762396070118,1.1243027888446215,0.0652574464761946,-0.058326549237609715,0.058326549237609715,0.0,-0.0,-0.8937914734203825
0.045112781954887216,-0.25,1.0660738675395076,1.1243027888446215,0.0652574464761946,-0.05822892130511392,0.05822892130511392,0.0,-0.0,-0.8922954306272982
0.047619047619047616,-0.25,1.0661714954720034,1.1262948207171315,0.06324266009082309,-0.06012332524512809,0.06012332524512809,0.0,-0.0,-0.9506767292644662
0.05012531328320802,-0.25,1.0662709940897206,1.1262948207171315,0.05981548948382548,-0.0600238266274109,0.0600238266274109,0.0002083371435854242,-0.0002083371435854242,-1.0034829965512821
0.05263157894736842,-0.25,1.066372878269705,1.1262948207171315,0.05718069685270227,-0.059921942447426435,0.059921942447426435,0.002741245594724162,-0.002741245594724162,-1.0479400522484996
0.05513784461152882,-0.25,1.0664742657782575,1.1302788844621514,0.05563866275208858,-0.06380461868389387,0.06380461868389387,0.008165955931805288,-0.008165955931805288,-1.1467676527056494
0.05764411027568922,-0.25,1.06657565328681,1.1302788844621514,0.0556386627520886,-0.06370323117534138,0.06370323117534138,0.008064568423252781,-0.008064568423252781,-1.1449454035081037
0.06015037593984962,-0.25,1.0666830068650768,1.1302788844621514,0.05563866275208859,-0.06359587759707463,0.06359587759707463,0.007957214844986044,-0.007957214844986044,-1.143015925462503
0.06265664160401002,-0.25,1.0667925822163895,1.1302788844621514,0.0556386627520886,-0.0634863022457619,0.0634863022457619,0.007847639493673307,-0.007847639493673307,-1.1410465152378004
0.06516290726817042,-0.25,1.06690189206809,1.1302788844621514,0.0556386627520886,-0.06337699239406147,0.06337699239406147,0.007738329641972873,-0.007738329641972873,-1.139081876867761
0.06766917293233082,-0.25,1.0670112019197904,1.1302788844621514,0.0556386627520886,-0.06326768254236104,0.06326768254236104,0.0076290197902724385,-0.0076290197902724385,-1.1371172384977217
0.07017543859649122,-0.25,1.067131477557096,1.1302788844621514,0.0556386627520886,-0.06314740690505549,0.06314740690505549,0.007508744152966894,-0.007508744152966894,-1.1349555108185094
0.07268170426065163,-0.25,1.0672526883771343,1.1302788844621514,0.0556386627520886,-0.06302619608501714,0.06302619608501714,0.007387533332928541,-0.007387533332928541,-1.1327769749939078
0.07518796992481203,-0.25,1.067373792241718,1.1302788844621514,0.0556386627520886,-0.0629050922204335,0.0629050922204335,0.007266429468344902,-0.007266429468344902,-1.130600361491832
0.07769423558897243,-0.25,1.067495585499735,1.1302788844621514,0.0556386627520886,-0.06278329896241641,0.06278329896241641,0.0071446362103278135,-0.0071446362103278135,-1.1284113574433385
0.08020050125313283,-0.25,1.0676351269958504,1.1302788844621514,0.0556386627520886,-0.06264375746630102,0.06264375746630102,0.007005094714212422,-0.007005094714212422,-1.1259033622972805
